Wrist_R	Thumb_R	Index_R	Middle_R	Ring_R	Pinky_R	Wrist_L	Thumb_L	Index_L	Middle_L	Ring_L	Pinky_L	Time
1561.4080857140739	1561.4080857140739	1561.4080857140739	1561.4080857140739	1561.4080857140739	1561.4080857140739	1561.4080857140739	1180.8490789592727	1130.6153668239863	1176.6884186436248	1228.7048809219423	1289.2438439879743	5.08
1560.5492837885295	1560.5492837885295	1560.5492837885295	1560.5492837885295	1560.5492837885295	1560.5492837885295	1560.5492837885295	1179.3371231822055	1126.1972004247268	1155.839902241955	1219.0781120707263	1287.5854542602954	5.12
1558.6544381612182	1558.6544381612182	1558.6544381612182	1558.6544381612182	1558.6544381612182	1558.6544381612182	1558.6544381612182	1183.1132014325804	1124.0059557304296	1167.6379305822113	1221.972792072192	1280.933475186431	5.16
1563.6857306121226	1563.6857306121226	1563.6857306121226	1563.6857306121226	1563.6857306121226	1563.6857306121226	1563.6857306121226	1180.6108134261906	1134.7634540104807	1162.4164577533911	1219.1971407007745	1284.579350050494	5.2
1564.8510134511105	1564.8510134511105	1564.8510134511105	1564.8510134511105	1564.8510134511105	1564.8510134511105	1564.8510134511105	1179.7907257717086	1130.6461798793769	1165.2719343138426	1224.7816950381093	1286.9012983949633	5.24
1568.1197817574243	1568.1197817574243	1568.1197817574243	1568.1197817574243	1568.1197817574243	1568.1197817574243	1568.1197817574243	1183.126962601668	1140.736890121345	1174.1781521066066	1228.1355088527157	1292.6077436622709	5.28
1562.382248921495	1562.382248921495	1562.382248921495	1562.382248921495	1562.382248921495	1562.382248921495	1562.382248921495	1182.9065607431269	1136.561245364547	1172.142912704042	1229.0135740367746	1293.7685168458854	5.32
1558.4136309533335	1558.4136309533335	1558.4136309533335	1558.4136309533335	1558.4136309533335	1558.4136309533335	1558.4136309533335	1180.4441380170479	1134.160374198292	1174.9297063070903	1229.0398044212545	1292.1332676873874	5.36
1545.3130935804836	1545.3130935804836	1545.3130935804836	1545.3130935804836	1545.3130935804836	1545.3130935804836	1545.3130935804836	1165.8713646359588	1123.610499854216	1175.957135825575	1232.8932165507479	1289.9678140302353	5.4
1529.71955793599	1529.71955793599	1529.71955793599	1529.71955793599	1529.71955793599	1529.71955793599	1529.71955793599	1158.3140503322413	1084.1873445092842	1136.2924783019957	1215.5351625536296	1302.761530318693	5.44
1519.013579229712	1519.013579229712	1519.013579229712	1519.013579229712	1519.013579229712	1519.013579229712	1519.013579229712	1144.96991836669	1076.7029547607997	1137.874083401906	1234.313895264002	1316.222056338873	5.48
1514.794426632125	1514.794426632125	1514.794426632125	1514.794426632125	1514.794426632125	1514.794426632125	1514.794426632125	1146.2458261605275	1110.1829785928924	1213.3361455583636	1315.1848494256772	1366.907130305394	5.52
