Thumb_L	Index_L	Time
998.353941956054	892.5193877611807	41.08
996.7856353211354	891.8003069283933	41.12
998.808685175649	895.2370571496683	41.16
998.5747883236261	892.3533064756214	41.2
998.2859755058595	893.7487738624036	41.24
997.8647464450462	893.7552272323009	41.28
999.68306764792	895.4351163911111	41.32
999.4165638148792	895.8362916329309	41.36
1000.2627126458807	894.6717347348175	41.4
1000.4758729761186	895.6918992269082	41.44
1000.536083335028	895.578577559113	41.48
1001.1901736721011	896.1074305779721	41.52
1001.5605217384068	896.1436702096597	41.56
999.3440437977993	895.0406097578323	41.6
1001.2744575294315	897.1660348058717	41.64
999.8260404225392	896.5003317018422	41.68
1001.5178693889521	897.6549329836766	41.72
999.6774878396824	895.4595987608081	41.76
1001.0032974388571	898.4711075383833	41.8
1000.9246197910497	895.7186705131077	41.84
1000.8494953283997	899.0222490495728	41.88
1001.693034576724	896.5742025370819	41.92
1001.0521831414368	896.4983885836031	41.96
999.9341860326011	895.5462865481484	42.0
1000.1592229959683	895.2687057005644	42.04
1001.1007551314668	897.5299532901395	42.08
1000.4633267682153	896.1999142025882	42.12
999.4299946908112	897.5378160815094	42.16
999.6354263257373	896.4176329301741	42.2
999.3030187330552	897.7597841199887	42.24
999.8029160623304	897.662423794889	42.28
999.5983700439683	898.472331510497	42.32
996.9555021537118	897.9174989755314	42.36
992.6764776679092	894.1268482515067	42.4
985.3598581943558	892.0087277224668	42.44
0.0	0.0	42.48
982.6156226905631	889.0021231317083	42.52
977.7215465101581	886.4394507013923	42.56
973.6193266434634	884.0375523121143	42.6
970.7411127643401	882.031287280248	42.64
969.1928318529106	880.0889398289806	42.68
968.260932373831	879.1150222598113	42.72
966.4866854340183	876.6208267463123	42.76
969.9153542776229	877.6648835424229	42.8
965.151211377269	875.963748749067	42.84
0.0	0.0	42.88
962.9546716542247	874.8220554181155	42.92
964.2577167900296	874.4996152662452	42.96
961.2874089214669	873.500471016664	43.0
960.0895601821902	870.7799230539931	43.04
960.4434548969842	871.8409862477193	43.08
958.8992291188603	867.9030361289923	43.12
959.6731350419686	870.6775552035301	43.16
960.0983070019389	871.9163117930891	43.2
960.7703579729517	871.398942929308	43.24
960.383668538654	870.6938508882615	43.28
961.987453251256	872.9424760264031	43.32
961.0513229955163	871.2343927097157	43.36
962.0500484116745	869.5991902741615	43.4
962.2700668299578	870.9461758868184	43.44
962.3655352984546	870.5689150442037	43.48
960.0535163136128	870.7629221731065	43.52
963.5025219643893	871.5792166349022	43.56
960.9251085756696	872.0250380473428	43.6
960.9912007573342	871.5083292357617	43.64
958.0830446925314	869.5314141027092	43.68
962.7029861386409	872.3403089671542	43.72
962.334317638621	873.1595764924037	43.76
962.8013615896127	871.787315478391	43.8
962.7324535156032	872.0605851669744	43.84
962.6913700751318	872.4162020872852	43.88
964.2588934952298	872.4758812334512	43.92
964.3759109189415	872.8207380116886	43.96
963.1712517772853	873.2981570074154	44.0
965.491258939364	875.4242011949799	44.04
0.0	0.0	44.08
967.0699395023615	875.1379909002702	44.12
963.6384393121162	874.4411275475783	44.16
0.0	0.0	44.2
967.3246080734864	876.0085426319756	44.24
966.52639769261	873.9108317344513	44.28
966.6594121340017	875.5718637224334	44.32
966.0207116633088	874.9451568340722	44.36
0.0	0.0	44.4
0.0	0.0	44.44
967.1807865454607	873.9038637293642	44.48
968.5269463047557	873.9496439114373	44.52
969.9057127077673	874.0970808135202	44.56
972.8745596002764	877.2010166906941	44.6
973.2352823591809	877.0594646656092	44.64
973.94028273398	876.9283199090287	44.68
971.7951476708628	876.5169498280146	44.72
970.8890477540881	877.2096705984454	44.76
973.4515339113786	876.8969177134267	44.8
0.0	0.0	44.84
972.6766502612141	877.9443997743653	44.88
976.2900921890968	879.4688379462768	44.92
974.6728152774925	878.7010267056869	44.96
976.9124776768814	878.9711244018752	45.0
976.0541437000801	878.5864099699863	45.04
979.0563055786479	880.4239213315518	45.08
0.0	0.0	45.12
979.3810255160721	880.6332133989544	45.16
978.7054350669505	881.3450080605835	45.2
982.2505893917995	882.9733651751426	45.24
980.110036191602	882.8242466955528	45.28
981.0315033766594	881.564077609359	45.32
982.891125161303	883.825241595926	45.36
980.4829031899893	883.3671566783424	45.4
980.4449799075753	884.1555469132296	45.44
980.9265385055668	883.3291572351945	45.48
979.1106308426395	881.6502939478645	45.52
979.3924156799328	884.3868285003206	45.56
979.9257017676639	883.9578077905076	45.6
979.9631982914988	883.1258402348643	45.64
981.0140479141611	883.584041359539	45.68
978.8490717820472	883.6049833496586	45.72
0.0	0.0	45.76
980.2486845957326	882.4464441463198	45.8
979.9097106766537	883.6968097883695	45.84
982.2382521081956	884.3643578841093	45.88
979.1396235559449	883.4320165683727	45.92
980.9149316176083	884.0665928744742	45.96
979.6038487651035	883.9966532282297	46.0
980.1492946505067	883.7989758640998	46.04
981.2439973150582	884.5302030417545	46.08
977.7303419990178	883.2250042550068	46.12
979.6859208434812	881.4540291800945	46.16
979.8329978965053	883.6417913705351	46.2
981.1059685235259	884.2194246460322	46.24
982.7145183900116	884.4745597815977	46.28
981.597862810527	883.2435435270178	46.32
982.5836141552893	884.3647368998814	46.36
982.5464527410851	884.0294086690667	46.4
983.4268164483243	883.6363555722421	46.44
982.3945948645493	883.2127158824693	46.48
983.7163052040228	883.8008674208446	46.52
984.1046239604748	884.1931233798737	46.56
982.8737058750474	885.0339531937004	46.6
983.4050419957991	884.0349460504765	46.64
982.028132263226	884.2585627067308	46.68
981.9657098373734	883.6808047690332	46.72
982.5452812701902	883.4633572643772	46.76
983.0184058345633	882.9618855005932	46.8
983.3886957521978	884.6226194080649	46.84
982.523959500034	883.8265585558668	46.88
984.7865048974461	883.9521419662512	46.92
985.9593186784709	884.9476219482008	46.96
982.4547552408624	883.8272095065444	47.0
982.6400326378191	883.6693820001617	47.04
983.7614713238498	885.6713540322952	47.08
984.6220937576929	885.2132588399814	47.12
984.6605990774169	885.9211435998513	47.16
985.7449643868318	886.317922105081	47.2
983.8150405084091	886.2389949600498	47.24
982.7103308064819	885.3401728824853	47.28
983.8011296547543	884.9204771038633	47.32
983.8249954003774	884.5775473706143	47.36
984.6367408294918	884.9783707660013	47.4
983.7154443791248	884.0554952200594	47.44
985.501785537025	885.101780876502	47.48
984.2545817362294	885.4033271547361	47.52
984.8107194777537	885.6737332428662	47.56
984.3814379688206	885.1023909496561	47.6
984.4745268320046	883.5795733985332	47.64
981.4489745388256	884.882042292968	47.68
982.4725368404484	883.7585155202355	47.72
981.88784803466	884.0774507679888	47.76
982.6299219564388	884.5484170506257	47.8
980.4134901288369	884.3831536832316	47.84
980.7201880070527	882.7607058282804	47.88
981.797594747462	882.6318603066625	47.92
984.0799403243608	882.6121901742122	47.96
982.509147721803	880.3728654177211	48.0
981.8930669353485	882.3812524926593	48.04
983.1597985390882	886.3798189839616	48.08
985.5738482123553	891.2213137888859	48.12
988.6481151106798	895.2933316153827	48.16
992.4269013226725	900.8397903017898	48.2
996.7478203501496	906.2388607378147	48.24
1001.3574444713005	911.1911996146366	48.28
1005.6920827551946	918.4701635124001	48.32
1011.8124115491846	923.532171937452	48.36
0.0	0.0	48.4
1020.2200346234175	934.9154510285058	48.44
1022.819899412693	940.3447102090452	48.48
1022.1006090974781	942.8207483448184	48.52
1027.4046557936597	945.2582768095407	48.56
1028.9813417306648	946.8292866541727	48.6
1029.1945996486631	949.2168139089722	48.64
1029.6735283760752	949.0432580546598	48.68
1032.3348498640064	954.2151777783096	48.72
1033.5245910426138	954.9560705259048	48.76
1038.5439362768593	959.5224578305089	48.8
0.0	0.0	48.84
1048.9962522781043	971.3136916909407	48.88
1055.2894060149015	975.7979860425963	48.92
1061.5332718808963	984.5062615839171	48.96
1068.3302639536053	989.9797829340662	49.0
1077.147014943883	1000.597870498068	49.04
1103.7382900204766	1025.410851766689	49.08
1130.0472669041912	1057.549871310723	49.12
1150.0534643242613	1102.542204787334	49.16
1163.2109041296417	1126.2689751789587	49.2
1184.9013329862446	1154.374002133589	49.24
1200.0151697025765	1187.7278026886713	49.28
1203.309571428455	1203.3041673991536	49.32
1182.2269761400214	1214.4440665367267	49.36
1143.5411826247935	1209.6971972522279	49.4
1128.4797507438745	1149.3217035071477	49.44
1113.8784532037378	1129.0382458383265	49.48
1130.0871633675201	1160.2671049808537	49.52
1143.3703187269941	1170.3954099753528	49.56
1149.794131114489	1183.5106465590743	49.6
1153.791835161319	1182.8558946478493	49.64
1158.9689512677382	1174.5860519721696	49.68
1159.1399123909573	1139.7466756477484	49.72
1147.389633003581	1118.445427710857	49.76
1130.4283534050398	1133.624186467419	49.8
1131.6585027482622	1132.4028280129398	49.84
1136.3157572716211	1141.6160626877108	49.88
1145.193729314417	1129.1418777694196	49.92
1141.7709197959634	1137.755315621699	49.96
1136.3345707177184	1175.0607501762615	50.0
1139.4134974862084	1163.1143741943567	50.04
1139.7229382997048	1182.3766560878248	50.08
1141.878764353316	1196.765428393524	50.12
1132.117211661619	1164.8212992612014	50.16
1129.72110178347	1178.960233372686	50.2
1117.1361575231065	1149.8693984954057	50.24
1112.2667692924351	1162.946822956145	50.28
1081.4646736847806	1122.6976814224042	50.32
0.0	0.0	50.36
1009.1881339051359	1033.9672233641268	50.4
0.0	0.0	50.44
0.0	0.0	50.48
0.0	0.0	50.52
0.0	0.0	50.56
822.1308637382677	869.5006527028702	50.6
798.3329043283942	840.2309481262988	50.64
785.9533923516447	806.9044795011056	50.68
767.5058976065993	777.1817814809548	50.72
748.5666698438287	743.8904005455554	50.76
736.0607867792244	725.6940555080703	50.8
727.6017027517966	705.0441236673162	50.84
721.6035589488577	694.964098301846	50.88
709.0481230767265	711.6875395320064	50.92
716.5866995816419	689.7491739576043	50.96
717.7974850126067	715.7130995267221	51.0
735.6551619603697	735.1665841219107	51.04
751.134973745045	754.4515997390051	51.08
768.8916843752286	769.6399398866739	51.12
778.2483498854813	787.633158214033	51.16
787.3357070968179	784.738881640232	51.2
797.2778584471338	779.1947017269978	51.24
792.9567186026379	794.1677938301656	51.28
800.9909874756866	789.4271647615025	51.32
809.5959226418921	797.8290503735193	51.36
818.518114863542	798.7346260938676	51.4
823.8118986896702	811.8587792733299	51.44
831.3401539195801	821.8416106670749	51.48
834.0246625657431	821.2724275755153	51.52
837.4029832710795	829.7150576580057	51.56
851.5946472744155	849.900350415796	51.6
881.279571399406	880.131171910013	51.64
910.0031849307128	895.6892652474228	51.68
928.1581720675507	946.7015769180633	51.72
961.2938534056024	976.9335337842443	51.76
995.9972223568813	1001.5588614592053	51.8
1033.9795798788416	1058.070754642009	51.84
1069.9031442379564	1097.267761437156	51.88
1109.0798153515927	1123.5578800954393	51.92
1134.6225649731437	1142.4407265206285	51.96
1163.0810680784773	1167.5520108787102	52.0
0.0	0.0	52.04
0.0	0.0	52.08
0.0	0.0	52.12
0.0	0.0	52.16
0.0	0.0	52.2
0.0	0.0	52.24
1184.1912993327473	1200.3534645280486	52.28
1170.223434081745	1186.8458234040802	52.32
0.0	0.0	52.36
0.0	0.0	52.4
0.0	0.0	52.44
0.0	0.0	52.48
0.0	0.0	52.52
0.0	0.0	52.56
0.0	0.0	52.6
0.0	0.0	52.64
0.0	0.0	52.68
0.0	0.0	52.72
0.0	0.0	52.76
0.0	0.0	52.8
0.0	0.0	52.84
0.0	0.0	52.88
0.0	0.0	52.92
0.0	0.0	52.96
0.0	0.0	53.0
0.0	0.0	53.04
0.0	0.0	53.08
0.0	0.0	53.12
0.0	0.0	53.16
0.0	0.0	53.2
0.0	0.0	53.24
0.0	0.0	53.28
0.0	0.0	53.32
0.0	0.0	53.36
0.0	0.0	53.4
0.0	0.0	53.44
0.0	0.0	53.48
0.0	0.0	53.52
0.0	0.0	53.56
0.0	0.0	53.6
0.0	0.0	53.64
0.0	0.0	53.68
0.0	0.0	53.72
0.0	0.0	53.76
0.0	0.0	53.8
0.0	0.0	53.84
0.0	0.0	53.88
0.0	0.0	53.92
0.0	0.0	53.96
0.0	0.0	54.0
0.0	0.0	54.04
0.0	0.0	54.08
0.0	0.0	54.12
0.0	0.0	54.16
0.0	0.0	54.2
0.0	0.0	54.24
0.0	0.0	54.28
0.0	0.0	54.32
0.0	0.0	54.36
0.0	0.0	54.4
0.0	0.0	54.44
0.0	0.0	54.48
0.0	0.0	54.52
0.0	0.0	54.56
0.0	0.0	54.6
0.0	0.0	54.64
0.0	0.0	54.68
0.0	0.0	54.72
0.0	0.0	54.76
0.0	0.0	54.8
0.0	0.0	54.84
0.0	0.0	54.88
0.0	0.0	54.92
0.0	0.0	54.96
0.0	0.0	55.0
0.0	0.0	55.04
0.0	0.0	55.08
0.0	0.0	55.12
0.0	0.0	55.16
0.0	0.0	55.2
0.0	0.0	55.24
0.0	0.0	55.28
0.0	0.0	55.32
0.0	0.0	55.36
0.0	0.0	55.4
0.0	0.0	55.44
0.0	0.0	55.48
0.0	0.0	55.52
0.0	0.0	55.56
0.0	0.0	55.6
0.0	0.0	55.64
0.0	0.0	55.68
0.0	0.0	55.72
0.0	0.0	55.76
0.0	0.0	55.8
0.0	0.0	55.84
0.0	0.0	55.88
0.0	0.0	55.92
0.0	0.0	55.96
0.0	0.0	56.0
0.0	0.0	56.04
0.0	0.0	56.08
0.0	0.0	56.12
0.0	0.0	56.16
0.0	0.0	56.2
0.0	0.0	56.24
0.0	0.0	56.28
0.0	0.0	56.32
0.0	0.0	56.36
0.0	0.0	56.4
0.0	0.0	56.44
0.0	0.0	56.48
0.0	0.0	56.52
0.0	0.0	56.56
0.0	0.0	56.6
0.0	0.0	56.64
0.0	0.0	56.68
0.0	0.0	56.72
0.0	0.0	56.76
0.0	0.0	56.8
0.0	0.0	56.84
0.0	0.0	56.88
0.0	0.0	56.92
0.0	0.0	56.96
0.0	0.0	57.0
0.0	0.0	57.04
0.0	0.0	57.08
0.0	0.0	57.12
0.0	0.0	57.16
